SlowFast_0_name,SlowFast_1_name,SlowFast_0_accuracy,SlowFast_1_accuracy,Number_Of_Winning_Fusions,CosineSimilarityCombiner_accuracy,MacroMajorityVoteCombiner_accuracy,MicroMajorityVoteCombiner_accuracy,SimpleAverageCombiner_accuracy
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,,0.063,,0,0.063,0.063,0.063,0.063
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,,0.874,,0,0.874,0.874,0.874,0.874
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,,0.48,,0,0.48,0.48,0.48,0.48
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,,0.142,,0,0.142,0.142,0.142,0.142
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.063,0.063,0,0.063,0.063,0.063,0.063
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.063,0.874,0,0.063,0.386,0.063,0.063
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.063,0.48,0,0.063,0.22,0.008,0.008
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.063,0.142,0,0.063,0.063,0.0,0.0
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.874,0.063,0,0.874,0.386,0.063,0.063
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.874,0.874,0,0.874,0.874,0.874,0.874
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.874,0.48,0,0.874,0.677,0.433,0.433
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.874,0.142,0,0.874,0.709,0.134,0.134
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.48,0.063,0,0.48,0.22,0.008,0.008
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.48,0.874,0,0.48,0.677,0.433,0.433
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.48,0.48,0,0.48,0.48,0.48,0.48
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.48,0.142,0,0.48,0.441,0.134,0.134
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.142,0.063,0,0.142,0.063,0.0,0.0
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.142,0.874,0,0.142,0.709,0.134,0.134
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.142,0.48,0,0.142,0.441,0.134,0.134
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.142,0.142,0,0.142,0.142,0.142,0.142
